case,family,corrected,plane,N,f_pos,meanQ_pos,f_strong,Q_p99,Q_max
CC_450_8,CC,False,BendEnd,8740,0.7632723112128147,48.93408421393445,0.6981693363844393,190.03894800000066,248.155273
CC_450_8,CC,False,BendStart,8740,0.8153318077803203,64.36074715975943,0.6389016018306636,460.99897980000105,1932.22754
CC_450_8,CC,False,ConeEnd,8456,0.7582781456953642,43.642815829776524,0.684957426679281,100.14513300000003,153.686844
CC_450_8,CC,False,GVEnd,8449,0.4005207716889573,1514.5010632399992,0.3936560539708841,7584.943882800005,15024.8184
CC_450_8,CC,False,GVEnd z680,63345,0.396605888388981,2566.9285049724626,0.3893914278948615,14475.948011999992,32661.5449
CC_450_8,CC,False,GVEnd2,8449,0.5469286306071725,153.0380856632542,0.4717718073144751,564.2673047200001,1186.62183
CC_450_8,CC,False,GVEnd3,8546,0.6570325298385209,89.69408623102112,0.5164989468757314,439.62197909999907,570.125549
CC_450_8,CC,False,GVEnd4,8620,0.8175174013921114,53.84887468847265,0.5756380510440835,171.81280772999997,194.282654
CC_450_8,CC,False,GVEnd5,8460,0.8552009456264775,58.38166755096274,0.7416075650118203,172.12346202999996,206.285706
CC_450_8,CC,False,GVEnd6,8449,0.8360752751804947,62.88417760934137,0.7415078707539354,199.96763536000012,231.592377
CC_450_8,CC,False,GVStart,44321,0.6185104126711942,2810.270218737718,0.6106586042733693,20765.50272000001,35978.0156
CC_450_8,CC,False,RDTStart,2545,0.09037328094302555,7.1610936387930435,0.005893909626719057,12.67958529999998,61.8180313
CC_500_6,CC,False,Bend00,8740,0.87883295194508,53.43869285546569,0.7302059496567506,394.19022548000027,2084.60547
CC_500_6,CC,False,Bend30,8614,0.7112839563501276,54.685050036756586,0.4804968655676805,543.7733840400182,2087.65283
CC_500_6,CC,False,Bend45,8591,0.717262251193109,58.31113498400328,0.40798510068676525,694.5517033000002,1605.63379
CC_500_6,CC,False,Bend60,8614,0.7458788019503134,57.80995627384802,0.3691664731831902,724.7886348600132,1451.14087
CC_500_6,CC,False,Bend90,8740,0.7282608695652174,32.793027414070444,0.46235697940503434,162.0376463600001,222.375137
CC_500_6,CC,False,BendEnd,8740,0.7282608695652174,32.793027414070444,0.46235697940503434,162.0376463600001,222.375137
CC_500_6,CC,False,BendStart,8740,0.8780320366132723,50.06509102226075,0.727345537757437,311.5882646500041,2084.60547
CC_500_6,CC,False,ConeEnd,8456,0.7158230842005676,30.065715651302366,0.49124881740775783,98.73191074500005,298.529175
CC_500_6,CC,False,GVEnd,8449,0.48869688720558646,1019.461247352971,0.47248195052668956,6740.626976000027,15813.5488
CC_500_6,CC,False,GVEnd z680,52735,0.4382668057267469,5323.454998580792,0.42776144875319994,41599.03269799989,105474.344
CC_500_6,CC,False,GVEnd2,8449,0.5038466090661616,255.9085410601767,0.4747307373653687,1112.0051852000004,1392.85767
CC_500_6,CC,False,GVEnd3,8546,0.5325298385209455,105.01396155642222,0.4238240112333255,344.88206895,393.428711
CC_500_6,CC,False,GVEnd4,8620,0.7302784222737819,52.02364754330776,0.5069605568445475,148.86891865999996,168.453354
CC_500_6,CC,False,GVEnd5,8460,0.8332151300236407,38.52834793092982,0.5900709219858156,101.47989976999999,112.031876
CC_500_6,CC,False,GVEnd6,8449,0.8101550479346669,43.012711827938766,0.6310806012545863,103.83856688000019,120.024292
CC_500_6,CC,False,GVStart,39583,0.6008892706464897,2913.897192539926,0.5929313088952328,21481.175804000002,33302.9609
CC_500_6,CC,False,RDTStart,2545,0.0487229862475442,5.564175312458871,0.0,10.065402227999995,19.9170055
CC_500_8,CC,False,Bend00,8740,0.8898169336384439,58.633596236403086,0.5712814645308925,716.009752220007,2039.88245
CC_500_8,CC,False,Bend30,8614,0.5736011144648248,58.467458932609134,0.3208729974460181,435.7566452700058,1217.85156
